run_id,user,session_file,bin,method,n_candidates_kept,pearson
,H,240229_userH_tripod_05_1.csv,69,abs,127,0.6270550806214139
,H,240229_userH_tripod_05_2.csv,82,phase,122,0.8999886219247089
,H,240229_userH_tripod_05_3.csv,25,abs,118,0.49827035955112775
,H,240229_userH_tripod_05_4.csv,68,phase,108,0.8236847551531544
,H,240229_userH_tripod_05_5.csv,8,abs,137,-0.05256707593727259
,H,240229_userH_tripod_05_6.csv,39,abs,136,-0.006586242584428306
,H,240229_userH_tripod_05_7.csv,27,abs,131,0.7003076854795329
,H,240403_userH_tripod_01_1.csv,22,abs,111,0.9516914535973698
,H,240403_userH_tripod_01_2.csv,27,abs,114,0.7103426979295298
,H,240403_userH_tripod_01_3.csv,23,abs,119,0.6584281943020661
,H,240403_userH_tripod_01_4.csv,99,abs,110,0.0409467513640905
,H,240403_userH_tripod_01_5.csv,27,abs,117,0.49116761005913445
,H,240403_userH_tripod_01_6.csv,27,abs,117,0.7943919537850964
,H,240403_userH_tripod_01_7.csv,25,phase,130,0.8832175710382537
,H,240403_userH_tripod_02_0.csv,27,phase,113,0.5389447982981808
,H,240403_userH_tripod_02_1.csv,25,phase,111,0.7715702459870976
,H,240403_userH_tripod_02_2.csv,26,phase,118,0.02987246136425879
,H,240403_userH_tripod_02_3.csv,25,phase,111,0.5868253148953346
,H,240403_userH_tripod_02_4.csv,30,phase,126,0.7854811785062337
,H,240403_userH_tripod_02_5.csv,30,phase,129,0.7647396101209737
,H,240403_userH_tripod_02_6.csv,25,abs,127,0.8651601489717156
,H,240403_userH_tripod_02_7.csv,30,phase,117,0.8943168055571736
,H,240403_userH_tripod_03_0.csv,26,phase,134,0.9323839718312139
,H,240403_userH_tripod_03_1.csv,67,abs,108,0.8826229621765498
,H,240403_userH_tripod_03_2.csv,67,abs,100,0.7097163687018981
,H,240403_userH_tripod_03_3.csv,24,abs,109,0.8214707960392947
,H,240403_userH_tripod_03_4.csv,23,abs,100,0.8961014738717507
,H,240403_userH_tripod_03_5.csv,70,phase,113,-0.4027581159931196
,H,240403_userH_tripod_03_6.csv,23,abs,104,0.6581174143558527
,H,240403_userH_tripod_03_7.csv,25,phase,108,0.7828533578546655
,H,240403_userH_tripod_04_0.csv,28,abs,121,0.3957147262043259
,H,240403_userH_tripod_04_1.csv,24,abs,118,0.8287011044658485
,H,240403_userH_tripod_04_2.csv,29,abs,110,0.7255359900222212
,H,240403_userH_tripod_04_3.csv,29,abs,142,0.8979011437169143
,H,240403_userH_tripod_04_4.csv,26,phase,123,0.9347177046805031
,H,240403_userH_tripod_04_5.csv,26,phase,107,0.5835297722583095
,H,240403_userH_tripod_04_6.csv,23,abs,123,0.6518900248998944
,H,240403_userH_tripod_04_7.csv,36,abs,113,0.8292760844226157
,H,240403_userH_tripod_05_0.csv,47,abs,120,0.8296869439491764
,H,240403_userH_tripod_05_1.csv,47,abs,144,0.2530786743173344
,H,240403_userH_tripod_05_2.csv,23,abs,132,0.7370651814240768
,H,240403_userH_tripod_05_3.csv,23,abs,124,0.9023520770974778
,H,240403_userH_tripod_05_4.csv,25,phase,103,0.9580079227637536
,H,240403_userH_tripod_05_5.csv,28,phase,127,0.8478820556962057
,H,240403_userH_tripod_05_6.csv,23,abs,142,0.5569512555728967
,H,240403_userH_tripod_05_7.csv,25,phase,148,0.8633551653099261
,H,240409_userH_tripod_01_0.csv,51,abs,115,0.9182581886484431
,H,240409_userH_tripod_01_1.csv,51,abs,130,0.892045675125835
,H,240409_userH_tripod_01_2.csv,36,phase,122,0.9321136660612485
,H,240409_userH_tripod_01_3.csv,36,phase,121,0.9437995809761838
,H,240409_userH_tripod_01_4.csv,50,abs,141,0.9143644505533309
,H,240409_userH_tripod_01_5.csv,35,phase,115,0.8842192426128335
,H,240409_userH_tripod_01_6.csv,22,phase,123,0.7105134158652986
,H,240409_userH_tripod_01_7.csv,50,abs,126,0.38336626650775507
,H,240409_userH_tripod_02_0.csv,36,phase,118,0.8940800357957448
,H,240409_userH_tripod_02_1.csv,24,phase,132,0.7853167589729417
,H,240409_userH_tripod_02_2.csv,24,phase,114,0.8434006282343721
,H,240409_userH_tripod_02_3.csv,24,phase,125,0.9030223973845619
,H,240409_userH_tripod_02_4.csv,23,phase,131,0.24185749703258336
,H,240409_userH_tripod_02_5.csv,24,abs,121,0.5815955502249252
,H,240409_userH_tripod_02_6.csv,49,phase,133,0.3508617981945722
,H,240409_userH_tripod_02_7.csv,63,abs,123,0.4159148083660811
,H,240409_userH_tripod_03_0.csv,45,abs,147,0.8789682178347678
,H,240409_userH_tripod_03_1.csv,26,phase,123,0.8799758515847632
,H,240409_userH_tripod_03_2.csv,26,phase,141,0.8472799024085392
,H,240409_userH_tripod_03_3.csv,36,phase,133,-0.47071002291732067
,H,240409_userH_tripod_03_4.csv,24,abs,140,0.1969534151883642
,H,240409_userH_tripod_03_5.csv,27,phase,133,0.6707115219087827
,H,240409_userH_tripod_03_6.csv,107,phase,120,-0.23148845006791355
,H,240409_userH_tripod_03_7.csv,27,phase,119,0.8634306702246572
,H,240416_userH_tripod_01_1.csv,29,phase,139,0.7790408466749289
,H,240416_userH_tripod_01_2.csv,25,abs,127,0.6746091415139716
,H,240416_userH_tripod_01_3.csv,64,phase,120,0.7197070398283916
,H,240416_userH_tripod_01_4.csv,11,abs,130,0.03449988863752535
,H,240416_userH_tripod_01_5.csv,101,phase,110,0.8428169760650753
,H,240416_userH_tripod_01_6.csv,49,abs,145,0.7500960497909278
,H,240416_userH_tripod_01_7.csv,86,abs,113,0.6628903128635582
,H,240416_userH_tripod_02_0.csv,25,abs,138,-0.6700821064274715
,H,240416_userH_tripod_02_1.csv,29,phase,129,0.9504936764881553
,H,240416_userH_tripod_02_2.csv,29,phase,133,0.954491778230495
,H,240416_userH_tripod_02_3.csv,13,abs,147,0.16793525460504305
,H,240416_userH_tripod_02_4.csv,29,phase,126,0.9611033181686119
,H,240416_userH_tripod_02_5.csv,29,abs,145,-0.5778220568907535
,H,240416_userH_tripod_02_6.csv,108,phase,111,-0.29093632106180184
,H,240416_userH_tripod_03_1.csv,110,abs,140,0.8141529975072018
,H,240416_userH_tripod_03_2.csv,25,abs,132,0.85573426237891
,H,240416_userH_tripod_03_3.csv,110,abs,135,0.38316567210643904
,H,240416_userH_tripod_03_4.csv,24,abs,140,0.8364410624297093
,H,240416_userH_tripod_03_5.csv,98,abs,124,0.502098909016718
,H,240416_userH_tripod_03_6.csv,24,abs,143,0.8455955067027269
,H,240416_userH_tripod_03_7.csv,109,abs,130,0.626275157390373
,H,240416_userH_tripod_04_1.csv,29,abs,123,0.7443991184151872
,H,240416_userH_tripod_04_2.csv,28,phase,129,0.8681531403041347
,H,240416_userH_tripod_04_3.csv,49,phase,147,0.38152503450062203
,H,240416_userH_tripod_04_4.csv,49,phase,145,0.41487068451455694
,H,240416_userH_tripod_04_5.csv,50,phase,149,0.5831208426041808
,H,240416_userH_tripod_04_6.csv,29,abs,145,0.5683202665697477
,H,240416_userH_tripod_04_7.csv,111,abs,138,0.5526584210866794
,I,231012_userI_tripod_01_0.csv,24,phase,99,0.9757626028512298
,I,231012_userI_tripod_01_1.csv,25,phase,111,0.9567734795737367
,I,231012_userI_tripod_01_2.csv,24,phase,107,0.9457563980635112
,I,231012_userI_tripod_01_3.csv,27,phase,124,0.9609628719026917
,I,231012_userI_tripod_01_4.csv,24,phase,121,0.9774040482259325
,I,231012_userI_tripod_01_5.csv,25,phase,118,0.9825640440446812
,I,231012_userI_tripod_01_6.csv,48,phase,102,0.9415945570310457
,I,231012_userI_tripod_01_7.csv,48,phase,89,0.8868934379748028
